System,Zones,Avg_R2,Avg_RMSE
L,"[1, 7]",0.7039834950003541,1.3143242476277932
M,"[2, 3, 8, 9]",0.8139939411123251,1.2377063610493395
R,"[4, 5, 10, 11]",0.7125788283071792,1.6702292638011778
