System,Zones,Avg_R2,Avg_RMSE
L,"[1, 7]",0.9610677256281126,0.474116455342631
M,"[2, 3, 8, 9]",0.9692588543367135,0.5046239062764
R,"[4, 5, 10, 11]",0.950457449832398,0.694845117821669
